,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2283,2020010700100293,13,화요일,경부진입로,대구광역시,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,0,72,상해없음,기타불명,2,0,기타불명,70.0,70.0
2284,2020021100100244,12,화요일,경부진입로,대구광역시,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,1,29,상해없음,기타불명,2,0,기타불명,20.0,20.0
2285,2019062100100707,22,금요일,경부진출로,대구광역시,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,화물,0,51,상해없음,화물,1,51,중상,,
2286,2019062200100392,14,토요일,경부진출로,대구광역시,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,1,51,상해없음,승용,1,60,경상,,
2287,2019062300100391,16,일요일,경부진출로,대구광역시,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,1,45,상해없음,승용,0,48,경상,40.0,40.0
2288,2019091700100277,11,화요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,21,상해없음,승용,1,36,경상,20.0,20.0
2289,2019092100100164,8,토요일,경부진출로,대구광역시,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,0,49,상해없음,승용,1,37,중상,40.0,40.0
2290,2019101100100657,19,금요일,경부진출로,대구광역시,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,62,경상,승용,1,37,경상,60.0,60.0
2291,2019110700100588,18,목요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,0,46,상해없음,승용,0,59,경상,40.0,40.0
2292,2019110900100542,17,토요일,경부진출로,대구광역시,중상사고,0,2,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,0,36,상해없음,승용,0,37,중상,30.0,30.0
2293,2019112300100212,10,토요일,경부진출로,대구광역시,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,0,64,상해없음,승용,0,76,상해없음,60.0,60.0
2294,2019112600100544,18,화요일,경부진출로,대구광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,0,59,상해없음,승용,0,46,경상,50.0,50.0
2295,2019121800100302,14,수요일,경부진출로,대구광역시,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,0,29,상해없음,승용,0,48,경상,20.0,20.0
